ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21388762,Glycerol,丙三醇；甘油,Antihypertensives: Diuretics,2025-08-20 00:00:00,
21388763,Riociguat,瑞增環膦鳥苷；嘧啶氮吲唑,Antihypertensives: Drugs used to treat pulmonary arterial hypertension,2025-10-20 00:00:00,
21388764,Sacubitril,洒癒避猝； 聯苯琥珀醯胺酯,Antihypertensives: Others,2025-08-20 00:00:00,
21388765,Elbasvir,扼拔肝韋爾；吡咯咪肝韋爾,Antivirals：Hepatitis C Virus (HCV) non-structural protein 5A (NS5A) inhibitors,2025-08-18 00:00:00,
21388766,Grazoprevir,革拉肝韋爾；喹㗁啉肝韋爾,Antivirals：Protease inhibitors,2025-08-18 00:00:00,
21388767,Cobicistat,卡閉抑胞素；噻唑𠰌抑胞素,Antivirals：Others,2025-08-18 00:00:00,
21388768,Basiliximab,帕抑斥嵌單抗,Immunomodulators,2025-08-20 00:00:00,
21388769,Mycophenolic acid,黴酚酸,Immunomodulators,2025-08-20 00:00:00,
21388770,Mycophenolate mofetil,黴酚酸𠰌啉乙酯,Immunomodulators,2025-08-20 00:00:00,
21388771,Canakinumab,能抑介白單抗,Immunomodulators,2025-08-20 00:00:00,
21388772,Certolizumab pegol,確脫熄擬單抗^聚乙二醇,Immunomodulators,2025-08-20 00:00:00,
21388773,Glatiramer acetate,聚麩離丙酪肽乙酸鹽,Immunomodulators,2025-08-20 00:00:00,
21388774,Infliximab,抑炎嵌單抗,Immunomodulators,2025-08-20 00:00:00,
21388775,Ustekinumab,優抑介白單抗,Immunomodulators,2025-08-20 00:00:00,
21388776,Vedolizumab,維多熄擬單抗,Immunomodulators,2025-10-20 00:00:00,
21388777,Fingolimod,類神經胺醇,Drugs used in multiple sclerosis: Immunosuppressants,2025-08-20 00:00:00,
21388778, Natalizumab,納拮整合擬單抗,Drugs used in multiple sclerosis: Immunosuppressants,2025-08-20 00:00:00,
21388779,Interferon Beta-1a,干擾素β-1a,Drugs used in multiple sclerosis: Immunostimulants,2025-08-20 00:00:00,
21388780,Cilastatin,司勒菌汀；環丙醯庚半胱胺酸,Antibiotics: Others,2025-10-20 00:00:00,
21388781,Acitretin,甲氧擬視網酸,Dermatological Preparations,2025-08-14 00:00:00,
21388782,Calcipotriol,鈣環三醇,Dermatological Preparations,2025-08-14 00:00:00,
21388783,Calcipotriene,鈣環三醇,Dermatological Preparations,2025-08-14 00:00:00,
21388784,Tazarotene,硫苯炔啶酯；硫𠳭烯炔菸鹼酯,Dermatological Preparations,2025-08-14 00:00:00,
21388785,Methoxsalen,甲氧呋香豆素；甲氧補骨脂素,Dermatological Preparations,2025-08-14 00:00:00,
21388786,Xanthotoxin,甲氧呋香豆素；甲氧補骨脂素,Dermatological Preparations,2025-08-14 00:00:00,
21388787,8-methoxypsoralen,對香柑內酯 (甲氧呋香豆素；甲氧補骨脂素),Dermatological Preparations,2025-08-14 00:00:00,
21388788,Ixekizumab,艾抑介白擬單抗,Dermatological Preparations,2025-08-14 00:00:00,
21388789,Secukinumab,卸介白單抗,Dermatological Preparations,2025-08-14 00:00:00,
21388790,Adapalene,金剛苯萘酸,Dermatological Preparations,2025-08-14 00:00:00,
21388791,Azelaic Acid,𡈼二酸；杜鵑花酸,Dermatological Preparations,2025-08-14 00:00:00,
21388792,Benzoyl Peroxide,過氧苯甲醯;過氧苄醯,Dermatological Preparations,2025-08-14 00:00:00,
21388793,Isotretinoin,異視網酸,Dermatological Preparations,2025-08-14 00:00:00,
21388794,Benzyl Benzoate,苯甲酸苄酯；安息酸苄酯,Dermatological Preparations,2025-08-14 00:00:00,
21388795,Crotamiton,巴豆醯苯胺；甲苯巴豆醯胺,Dermatological Preparations,2025-10-20 00:00:00,
21388796,Dimethyl Sulfoxide,二甲亞碸,Dermatological Preparations,2025-08-14 00:00:00,
21388797,Hydroquinone,氫醌；對苯二酚,Dermatological Preparations,2025-08-14 00:00:00,
21388798,Imiquimod,咪唑喹啉胺,Dermatological Preparations,2025-08-14 00:00:00,
21388799,Prilocaine,丙甲苯柯鹼；丙甲苯卡因,Dermatological Preparations,2025-08-14 00:00:00,
21388800,Gentian Violet,龍膽紫；結晶紫,Dermatological Preparations,2025-08-14 00:00:00,
21388801,Crystal Violet,結晶紫；龍膽紫,Dermatological Preparations,2025-08-14 00:00:00,
21388802,Povidone-Iodine,普維酮碘；聚乙烯吡咯啶酮錯碘,Dermatological Preparations,2025-08-14 00:00:00,
21388803,Silver Sulfadiazine,磺胺嘧啶銀,Dermatological Preparations,2025-08-14 00:00:00,
21388804,Pyridostigmine,吡錠扁豆鹼,Drugs used in myasthenia gravis,2025-08-18 00:00:00,
21388805,Aflibercept,艾釋截脈,Ophthalmic Preparations,2025-08-14 00:00:00,
21388806,Hydroxypropyl Methylcellulose,羥丙甲醚纖維素 ,Ophthalmic Preparations,2025-08-14 00:00:00,
21388807,Hypromellose,羥丙甲醚纖維素 ,Ophthalmic Preparations,2025-08-14 00:00:00,
21388808,Pirenoxine,羧吡啡㗁𠯤；啡㗁𠯤吡酸,Ophthalmic Preparations,2025-08-14 00:00:00,
21388809,Proparacaine,丙氧異新柯鹼；對丙氧卡因,Ophthalmic Preparations,2025-08-14 00:00:00,
21388810,Proxymetacaine ,丙氧異新柯鹼；對丙氧卡因,Ophthalmic Preparations,2025-08-14 00:00:00,
21388811,Ranibizumab,瑞霓截脈擬單抗,Ophthalmic Preparations,2025-08-14 00:00:00,
21388812,Verteporfin,紫質截脈,Ophthalmic Preparations,2025-08-14 00:00:00,
21388813,Tropicamide,顛茄醯胺；顛茄吡啶醯胺,Ophthalmic Preparations,2025-08-14 00:00:00,
21388814,Arsenic Trioxide,氧化砷,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388815,L-Asparaginase,天冬醯胺酸酶,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388816,Colaspase,天冬醯胺酸酶,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388817,Pegaspargase,天冬醯胺酸酶^聚乙二醇,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388818,Eribulin,噎利抑絲裂素,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388819,Hydroxyurea,羥脲,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388820,Hydroxycarbamide,羥脲,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388821,Gimeracil,鄰氯碳尿嘧啶,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388822,Oteracil,羧氮尿嘧啶；羧三𠯤二酮,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388823,Venetoclax,圍虐淋靶息,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
21388824,Ixabepilone,纖囊菌素B內醯胺,Antineoplastic agents: Miscellaneous others,2025-08-20 00:00:00,
