ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21377125,previous criminal convictions,前科,tiền án tiền sự,riwayat kriminal,,,,警政署,,,,
21377126,prior to the effective date,施行前,trước khi thi hành,sebelum pelaksanaan,,,,移民署,外國人停居留及永久居留辦法,,,
21377127,priority of purchasing,優先採購,ưu tiên mua sắm,prioritas membeli,,,,衛生福利部,身心障礙者權益保障法,,,
21377128,private nursery institution,私立托教機構,trường mẫu giáo tư thục,tempat penitipan anak swasta,,,,衛生福利部,,,,
21377129,"probation, suspended sentence",緩刑,án treo,hukuman probasi; hukuman masa percobaan,,,,移民署,禁止外國人入國作業規定,,,
21377130,Proceeding,行進,đi tới,berjalan maju,,,,警政署,道路交通管理處罰條例,,,
21377131,process,過程,quá trình,proses,,,,警政署,犯罪被害人權益保障法,,,
21377132,productivity,生產力,năng suất,produktivitas,,,,勞動部,職業訓練法,,,
21377133,professional training ,專業人員訓練,đào tạo nhân viên chuyên nghiệp,pelatihan bagi tenaga profesional,,,,衛生福利部,身心障礙者權益保障法,,,
21377134,professional work,專業工作,công việc chuyên môn,tenaga ahli,,,,移民署,外國人停居留及永久居留辦法,,,
21377135,proficiency,專精,chuyên sâu,keahlian khusus/spesialis,,,,勞動部,職業訓練法,,,
21377136,profit-seeking enterprise,營利事業,ngành kinh doanh có lợi nhuận,usaha berorentasi ke laba,,,,移民署,外國人停居留及永久居留辦法,,,
21377137,project timeline,進度表,bảng tiến độ,jadwal progres/perkembangan,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377138,proof of date of entry,入國日期證明,chứng nhận ngày nhập cảnh,dokumen bukti tanggal kedatangan,,,,移民署,外國人停居留及永久居留辦法,,,
21377139,proof of place of birth,出生地證明,giấy chứng nhận nơi sinh,sertifikat tempat lahir,,,,移民署,外國人停居留及永久居留辦法,,,
21377140,proper ,妥善,thỏa đáng,dengan baik/tepat,,,,衛生福利部,老人福利法,,,
21377141,prosecutorial agency,檢察機關,cơ quan kiểm sát,Kantor Kejaksaan,,,,移民署,外國人停居留及永久居留辦法,,,
21377142,Prosecutors office,檢察署,cục kiểm sát,Kantor Kejaksaan,,,,警政署,道路交通管理處罰條例 ,,,
21377143,prostitute,妓女,gái mại dâm,pelacur/penjaja seks ,,,,警政署,,,,
21377144,prostitution  ,賣淫,mại dâm,prostitusi,,,,警政署,,,,
21377145,protection ,保護,bảo vệ,proteksi,,,,衛生福利部,身心障礙者權益保障法,,,
21377146,protective ,保護性,tính bảo vệ,perlindungan ,,,,衛生福利部,社會基本福利法,,,
21377147,provisional alien registration certificate,臨時外僑登記證,giấy đăng ký tạm thời cho người nước ngoài,kartu identitas sementara bagi warga asing,,,,移民署,外國人停居留及永久居留辦法,,,
21377148,psychological support,心理支持,hỗ trợ tâm lý,dukungan psikologis,,,,衛生福利部,身心障礙者權益保障法,,,
21377149,public ,公有,thuộc sở hữu công cộng,milik negara/publik,,,,衛生福利部,社會基本福利法,,,
21377150,public (institution),公設,công trình công cộng,sarana publik/umum,,,,衛生福利部,老人福利法,,,
21377151,public nursery institution,公立托教機構,trường mẫu giáo công lập,tempat penitipan anak negeri,,,,衛生福利部,,,,
21377152,puncture wound,穿刺傷 ,vết đâm,luka tertusuk,,,,警政署,,,,
21377153,"R.O.C. (Taiwan) embassies, consulates, and representative offices",駐外使領館處,lãnh sự quán Đài Loan tại nước ngoài,kedutaan besar / konsulat di luar negeri,,,,移民署,禁止外國人入國作業規定,,,
21377154,R.O.C. (Taiwan) nationals with household registration in the Taiwan Area,居住臺灣地區設有戶籍國民,công dân có hộ khẩu tại Đài Loan,warga yang tinggal dan memiliki kartu keluarga di Taiwan,,,,移民署,禁止外國人入國作業規定,,,
21377155,Racing,競駛,đua xe,balap,,,,警政署,道路交通管理處罰條例 ,,,
21377156,"Ranks, level ",等級,cấp bậc,tingkat,,,,勞動部,職業訓練法,,,
21377157,re-approval ,重新核定,xác định lại,penilaian ulang,,,,移民署,外國人停居留及永久居留辦法,,,
21377158,rear mirror,後視鏡 ,gương chiếu hậu,kaca spion,,,,警政署,,,,
21377159,reason,原因,nguyên nhân,alasan,,,,警政署,,,,
21377160,reason for residency ,居留原因,lý do cư trú,alasan tinggal,,,,移民署,外國人停居留及永久居留辦法,,,
21377161,reason for residency no longer exists,居留原因消失,lý do cư trú không còn,alasan tinggal lenyap,,,,移民署,外國人停居留及永久居留辦法,,,
21377162,receive an excessive amount than  is permitted to,溢領,lãnh trộm tiền,kelebihan pembayaran,,,,勞動部,就業促進津貼實施辦法,,,
21377163,Recorder,紀錄器,camera ghi hình,alat perekam,,,,警政署,道路交通管理處罰條例,,,
21377164,red lights,紅燈,đèn đỏ,lampu merah,,,,警政署,,,,
21377165,reduce speed,減速,giảm tốc,mengurangi kecepatan,,,,警政署,道路交通管理處罰條例 ,,,
21377166,reducing the period by half,減半計算,tính giảm một nửa,dihitung dengan dikurangi separuh,,,,移民署,禁止外國人入國作業規定,,,
21377167,re-entry permit ,重入國許可,giấy phép tái nhập cảnh,izin masuk kembali,,,,移民署,外國人停居留及永久居留辦法,,,
21377168,re-evaluation,複評,đánh giá lại,evaluasi ulang,,,,衛生福利部,老人福利法,,,
21377169,referral card,介紹卡,thẻ giới thiệu,kartu pengenalan,,,,勞動部,就業促進津貼實施辦法,,,
21377170,refusal to receive,拒絕接納,từ chối tiếp nhận,tidak diterima/ditolak,,,,移民署,外國人停居留及永久居留辦法,,,
21377171,region,地域,khu vực,wilayah ,,,,衛生福利部,社會基本福利法,,,
21377172,regional ,區域性,tính khu vực,regional,,,,衛生福利部,社會基本福利法,,,
21377173,registered information,登記事項,hạng mục đăng ký,hal-hal yang harus didaftarkan,,,,移民署,外國人停居留及永久居留辦法,,,
21377174,registered residential address,戶籍地址,địa chỉ đăng ký hộ khẩu,alamat kartu keluarga,,,,警政署,,,,
21377175,Registration date,登記日,ngày đăng ký,tanggal pendaftaran,,,,勞動部,就業促進津貼實施辦法,,,
21377176,Regulations on the Notice of Death Information,死亡資料通報辦法,quy định về cách thông báo thông tin tử vong,peraturan pelaporan data kematian,,,,移民署,外國人停居留及永久居留辦法,,,
21377177,rehabilitated ,更生,người tái hòa nhập cộng đồng,rehabilitasi,,,,勞動部,就業促進津貼實施辦法,,,
21377178,rehabilitation,復健,phục hồi chức năng,rehabilitasi,,,,衛生福利部,老人福利法,,,
21377179,Rehabilitation Bus ,復康巴士,xe buýt cho người khuyết tật,bus rehabilitasi,,,,衛生福利部,身心障礙者權益保障法,,,
21377180,reject ,不予許可,không được cấp phép,tidak diizinkan,,,,移民署,外國人停居留及永久居留辦法,,,
21377181,related persons,關係人,người có liên quan / người có mối quan hệ,pihak terkait,,,,移民署,外國人停居留及永久居留辦法,,,
21377182,relatives,親屬,"thân nhân, người thân",anggota keluarga,,,,移民署,外國人停居留及永久居留辦法,,,
21377183,relevant authorities,相關機關,cơ quan liên quan,lembaga terkait,,,,移民署,外國人停居留及永久居留辦法,,,
21377184,Relocate,移置,di chuyển,memindahkan,,,,警政署,道路交通管理處罰條例,,,
21377185,remaining balance,尾款,số tiền còn lại；khoản thanh toán còn lại,sisa pembayaran ,,,,警政署,,,,
21377186,rental ,租屋；,nhà thuê；thuê,sewa rumahsewa,,,,衛生福利部,社會基本福利法；老人福利法,,,
21377187,report on the DNA paternity test for blood relation,DNA血緣鑑定報告書,Bản báo cáo giám định huyết thống DNA,laporan tes garis keturunan DNA,,,,移民署,禁止外國人入國作業規定,,,
21377188,report suspension  ,報停,báo ngừng,dihentikan; ditangguhkan (tentang TNKB / plat nomor),,,,警政署,,,,
21377189,requiring care from others,需人照顧,cần có người chăm sóc,membutuhkan perawatan,,,,移民署,外國人停居留及永久居留辦法,,,
21377190,residence/housing in community,社區居住,khu vực dân cư/ cộng đồng chung cư/ cư xá,tinggal di komunitas ,,,,衛生福利部,身心障礙者權益保障法,,,
21377191,resident visa ,居留簽證,thị thực cư trú,memperpanjang izin tinggal / ARC,,,,移民署,外國人停居留及永久居留辦法,,,
21377192,residual ,賸餘,dư thừa/ thừa ra/ thặng dư,berkelebihan,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377193,resolution,決議,quyết định,keputusan,,,,警政署,犯罪被害人權益保障法,,,
21377194,respite,喘息,nghỉ xả hơi， tạm nghỉ,istirahat sejenak,,,,衛生福利部,老人福利法,,,
21377195,restraining order,保護令 ,lệnh bảo hộ vệ,perintah perlindungan,,,,警政署,,,,
21377196,restricted from exit,限制出境,hạn chế xuất cảnh,dicegah untuk ke luar negeri,,,,移民署,外國人停居留及永久居留辦法,,,
21377197,restrictions on one’s place of residence,限定其住居所,giới hạn nơi cư trú của đương sự,dibatasi di tempat tinggal yang bersangkutan,,,,移民署,外國人停居留及永久居留辦法,,,
21377198,reverse ,逆向,ngược chiều,berlawanan arah,,,,衛生福利部,老人福利法,,,
21377199,reward ,獎助,khen thưởng và trợ giúp,penghargaan,,,,衛生福利部,老人福利法,,,
21377200,right side,右側,phía bên phải,sisi kanan,,,,警政署,道路交通管理處罰條例,,,
21377201,right turn,右轉彎,rẽ phải,belok kanan,,,,警政署,道路交通管理處罰條例,,,
21377202,Rights Protection,權益保障,đảm bảo quyền lợi,perlindungan hak,,,,衛生福利部,身心障礙者權益保障法,,,
21377203,road conditions,路況,tình trạng giao thông,kondisi jalan,,,,警政署,道路交通管理處罰條例,,,
21377204,road markings,標線,vạch ký hiệu giao thông trên đường,garis penanda jalan,,,,警政署,道路交通管理處罰條例,,,
21377205,robber,盜匪,kẻ cướp,perampok,,,,警政署,,,,
21377206,ROC national,我國國民,công dân nước sở tại( Đài Loan),warga negara ROC,,,,移民署,外國人停居留及永久居留辦法,,,
21377207,ROC national with a registered household,設有戶籍國民,công dân có hộ khẩu,warga negara yang memiliki kartu keluarga,,,,移民署,外國人停居留及永久居留辦法,,,
21377208,ROC nationals,本國人,người bản quốc,warga negara ( Taiwan ),,,,移民署,外國人停居留及永久居留辦法,,,
21377209,room and board ,食宿,ăn và ở,makan dan tempat tinggal/akomodasi,,,,警政署,,,,
21377210,roundabout,圓環 ,vòng xoay,bundaran,,,,警政署,,,,
21377211,rules,細則,chi tiết,rincian pelaksanaan ,,,,衛生福利部,老人福利法,,,
21377212,rules and regulations,規章,quy tắc， quy chế,peraturan,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377213,rural-urban ,城鄉,thành thị và nông thôn,perkotaan dan perdesaan,,,,衛生福利部,社會基本福利法,,,
21377214,Saliva,唾液,nước bọt,air liur,,,,警政署,刑事訴訟法,,,
21377215,sample,範例；樣本,ví dụ；mẫu,contoh/sampel,,,,警政署,,,,
21377216,sample of urine ,尿液樣本 ,mẫu nước tiểu,sampel air seni/kencing,,,,警政署,,,,
21377217,scam gang,詐騙集團,tập đoàn lừa đảo,sindikat penipuan,,,,警政署,,,,
21377218,screening test,甄試,thi tuyển,ujian seleksi,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377219,sea,海域,vùng biển,wilayah laut,,,,警政署,,,,
21377220,"seal, stamp",印鑑,con dấu,cap/stempel,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377221,search warrant,搜索票,lệnh khám xét,surat perintah penggeledahan dan pelacakan,,,,警政署,,,,
21377222,seasonal,季節性,tính mùa vụ,musiman,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377223,seat belt,安全帶,dây an toàn,sabuk pengaman,,,,警政署,道路交通管理處罰條例,,,
21377224,securities ,有價證券,chứng khoán có giá trị,surat berharga/sekuritas,,,,勞動部,職業訓練法施行細則,,,
21377225,security checkpoint,安檢哨 ,chốt kiểm tra an ninh,pos pemeriksaan keamanan,,,,警政署,,,,
21377226,security inspection,安檢 ,kiểm tra an ninh,pemeriksaan keamanan,,,,警政署,,,,
21377227,self-government,自治,tự trị,pemerintah otonomi,,,,衛生福利部,社會基本福利法,,,
21377228,self-sufficient,足以自立,đủ khả năng tự lập,mampu mandiri,,,,移民署,外國人停居留及永久居留辦法,,,
21377229,send personnel,派員,cử người,mengirim staf,,,,勞動部,職業訓練法,,,
21377230,send staff ,派員,cử người,mengutus/menugaskan ,,,,衛生福利部,,,,
21377231,senior persons,銀髮,người cao tuổi,lansia,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377232,seriously,重度,mức độ nặng,berat/parah,,,,衛生福利部,老人福利法,,,
21377233,several ,若干,bao nhiêu/ một số,beberapa,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377234,severe injury,重傷 ,thương nặng,luka berat,,,,警政署,,,,
21377235,Sex,性,tình dục,seksual,,,,警政署,性騷擾防治法,,,
21377236,sex trade,性交易,mua bán dâm,perdagangan seks,,,,警政署,,,,
21377237,sexual penetration,性器交合 ,giao cấu tình dục/ quan hệ tình dục,bersanggama,,,,警政署,,,,
21377238,shall establish,應置,cần trang bị,harus disediakan,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377239,Sign,簽證,"kí (công văn, giấy tờ, chứng từ)/ thị thực",menandatangani,,,,警政署,道路交通管理處罰條例 ,,,
21377240,silence,緘默,im lặng,diam,,,,警政署,,,,
21377241,skillful ,熟練,thành thạo,terampil/mahir,,,,勞動部,職業訓練法施行細則,,,
21377242,small-scale,小型,quy mô nhỏ,skala kecil,,,,衛生福利部,老人福利法,,,
21377243,smoking pipe,吸食器,dụng cụ hút (dùng cho thuốc hoặc chất gây nghiện),alat isap,,,,警政署,,,,
21377244,social participation ,社會參與,tham gia xã hội,berpartisipasi sosial,,,,衛生福利部,身心障礙者權益保障法,,,
21377245,social worker,社會工作人員,nhân viên công tác xã hội,pekerja sosial,,,,衛生福利部,身心障礙者權益保障法,,,
21377246,social workers,社工人員,nhân viên công tác xã hội,pekerja sosial,,,,衛生福利部,,,,
21377247,socioeconomic ,社經,kinh tế xã hội,sosial ekonomi,,,,衛生福利部,社會基本福利法,,,
21377248,special approval,專案許可,giấy phép chuyên án,izin khusus,,,,移民署,外國人停居留及永久居留辦法,,,
21377249,special reason,特殊原因,lý do đặc biệt,alasan khusus,,,,移民署,外國人停居留及永久居留辦法,,,
21377250,specific bank account,專戶,tài khoản chuyên dụng,rekening khusus ,,,,衛生福利部,,,,
