ID,英文詞彙,中文名詞,更新日期
21329761,sanxian (three-stringed long-necked lute),三弦,
21329762,sauté,乾煎(少油),
21329763,scarlet runner bean,花豆 (大紅豆),
21329764,scatterbrained,秀逗,
21329765,school junior;junior schoolmate,學弟/妹,
21329766,school senior;senior schoolmate,學長/姐,
21329767,school song;school anthem,校歌,
21329768,scraping (therapy);gua sha,刮痧,
21329769,sea bass;seabass,海鱸魚,
21329770,sea lettuce,海萵苣(石蓴),
21329771,sear,(大火)快煎,
21329772,secret crush;hidden love;unspoken love;secret love,暗戀,
21329773,self-rising flour;self-raising flour,自發(麵)粉,
21329774,semantic component,意符(形符),
21329775,semantic-phonetic compound,形聲字,
21329776,Senior Civil Service Examination,高考,
21329777,shadow puppetry,皮影戲,
21329778,shadow tag,踩影子,
21329779,shallot,紅蔥頭,
21329780,shaobing;baked flatbread,燒餅,
21329781,Shar Pei,沙皮狗,
21329782,shawarma,沙威瑪,
21329783,sheng;sheng pipes,笙,
21329784,shi (advisor),士/仕,
21329785,Shih Tzu,西施犬,
21329786,shooting a catapult (UK);shooting a slingshot (US);firing a catapult (UK);firing a slingshot (US),打彈弓,
21329787,shooting rubber bands,玩橡皮筋,
21329788,short-term tutorial school;cram school;buxiban,補習班,
21329789,shu;(the Confucian virtue of) empathy and forgiveness,恕,
21329790,shuai / jiang (general),將/帥,
21329791,shuanghuang,雙簧,
21329792,shui jian bao;water-fried baozi,水煎包,
21329793,shuijiao;boiled jiaozi,水餃,
21329794,shulaibao;clever tongue;rhythmic smart talk,數來寶,
21329795,Siberian tiger;Manchurian tiger,東北虎,
21329796,Sichuan embroidery;Shu embroidery,蜀繡,
21329797,Sichuan pepper;Sichuan peppercorn(s),花椒,
21329798,side dish,小菜,
21329799,siheyuan;four-sided courtyard house,四合院,
21329800,silly;frivolous,三八,
21329801,silver anchovy;slender sprat,丁香魚,
21329802,simmer,煨,
21329803,Simon says;teacher says,老師說,
21329804,simple ideograph,指事字,
21329805,siu-kiann or siukiann;exorcism;to exorcise;to dispel evil spirits and pacify a frightened soul,收驚,
21329806,six-week test (primary and secondary schools);duan kao,段考（中小學）,
21329807,sky lantern,天燈,
21329808,skyrocket;bottle rocket,沖天炮,
21329809,slate house;stone slab house,石板屋,
21329810,slushy;slushie;slush;smoothie (加奶製品),冰沙,
21329811,small ink brush,小楷筆,
21329812,small seal script (aka Qin script秦篆),小篆,
21329813,snap pea;sugar snap pea,甜豌豆,
21329814,snow fungus;silver ear,銀耳 (白木耳),
21329815,softshell turtle,鱉 (甲魚),
21329816,Son of Heaven,天子,
21329817,sorghum,高梁,
21329818,sour plum drink,酸梅湯,
21329819,soybean microgreens,黃豆苗,
21329820,soybean sprouts,黃豆芽,
21329821,sparkler,仙女棒,
21329822,spinning a diabolo;manipulating a diabolo,扯鈴,
21329823,spinning a whipping top;whipping a top,打陀螺,
21329824,spiny lobster,龍蝦,
21329825,spirit money;ghost money,冥紙,
21329826,spring festival couplet(s),春聯,
21329827,spring onion;scallion;green onion,(大)蔥,
21329828,spring roll,春捲,
21329829,squid geng;youyu geng;squid in thick soup,魷魚羹,
21329830,stag beetle,鍬形蟲,
21329831,stand off;gladiator hands,立定推手,
21329832,star anise,八角,
21329833,star fruit drink;carambola drink,楊桃汁,
21329834,star fruit;carambola,楊桃,
21329835,steamed pork baozi,肉包,
21329836,steamed vegetable baozi,菜包,
21329837,Sternhalma;Chinese checkers,跳棋,
21329838,stew,燉,
21329839,stew in clear broth,清燉,
21329840,stick fighting,耍刀槍,
21329841,sticky rice sausage,糯米腸,
21329842,stilt walking,踩高蹺,
21329843,stinky tofu;chou doufu,臭豆腐,
21329844,stir-fry,炒,
21329845,stone skipping;stone skimming;skipping stones,打水漂兒,
21329846,straw cape;thatched rain cape,蓑衣,
21329847,straw sandals;straw shoes,草鞋,
21329848,stroke,筆畫,
21329849,stroke order,筆順,
21329850,suspended cymbal,吊鈸,
21329851,Suzhou embroidery;Su embroidery,蘇繡,
21329852,sweet bean baozi,豆沙包,
21329853,sweet flag;calamus,菖蒲,
21329854,sweet ginger tea;ginger soup,薑湯,
21329855,sweet potato leaves;sweet potato greens,番薯葉(地瓜葉),
21329856,sweetsop;sugar apple,番荔枝 (釋迦),
21329857,tai chi chuan;taijiquan,太極拳,
21329858,Taiwan herbal tea,青草茶,
21329859,Taiwan wheel cake,車輪餅,
21329860,Taiwanese lettuce;Taiwanese a-cai;sword lettuce,台灣萵菜 (A菜/油麥菜),
21329861,tâng-á-bí-ko;migao tube (sticky rice in a cup),筒仔米糕,
21329862,tangerine;mandarin orange,橘子(柑),
21329863,tangram;seven-piece puzzle,七巧板,
21329864,tangyuan;glutinous rice balls,湯圓,
21329865,tangzhuang;Tang suit,唐裝,
21329866,tanhua;third on the jinshi list,探花,
21329867,Tantric Buddhism;Esoteric Buddhism,密宗,
21329868,Tao,道,
21329869,Tao Te Ching,道德經,
21329870,Taoism (philosophy),道家,
21329871,Taoism (religion),道教,
