ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3604263,"Dubois, François Clément Théodore",迪布瓦，弗杭絲瓦,,音樂,,2018-11-20
3604264,"Dubois, Pierre Max",迪布瓦，皮耶赫,,音樂,,2018-11-20
3604265,"Dufay, Guillaume",迪費,,音樂,,2018-11-20
3604266,"Dukas, Paul",迪卡,,音樂,,2018-11-20
3604267,"Duparc, Henri",迪帕克,,音樂,,2018-11-20
3604268,"Duphly, Jacques",迪夫利,,音樂,,2018-11-20
3604269,"Dupin, Paul",迪斑,,音樂,,2018-11-20
3604270,"Dupont, Auguste",迪朋，歐駒斯特,,音樂,,2018-11-20
3604271,"Dupont, Gabriel",迪朋，加布利耶勒,,音樂,,2018-11-20
3604272,"Duport, Jean-Pierre",迪波爾,,音樂,,2018-11-20
3604273,"Dupré, Marcel",迪普雷，馬賽勒,,音樂,,2018-11-20
3604274,"Duprez, Gibert",迪普雷，吉貝爾,,音樂,,2018-11-20
3604275,"Durand, Joël-François",迪杭，若艾勒-弗杭絲瓦,,音樂,,2018-11-20
3604276,"Durand, Marie Auguste",迪杭，馬里,,音樂,,2018-11-20
3604277,"Durey, Louis",迪雷,,音樂,,2018-11-20
3604278,"Duruflé, Maurice",迪律夫列,,音樂,,2018-11-20
3604279,"Dutilleux, Henri",迪第厄,,音樂,,2018-11-20
